iter	RMSE
391	0.4985545454
392	0.4965164545
393	0.4944866952
394	0.4924652337
395	0.4904520358
396	0.4884470679
397	0.4864502963
398	0.4844616876
399	0.4824812082
400	0.4805088251
401	0.478544505
402	0.4765882151
403	0.4746399225
404	0.4726995946
405	0.4707671987
406	0.4688427024
407	0.4669260735
408	0.4650172797
409	0.4631162891
410	0.4612230697
411	0.4593375899
412	0.4574598178
413	0.4555897221
414	0.4537272714
415	0.4518724343
416	0.4500251798
417	0.4481854769
418	0.4463532947
419	0.4445286025
420	0.4427113696
421	0.4409015656
422	0.43909916
423	0.4373041227
424	0.4355164234
425	0.4337360323
426	0.4319629195
427	0.4301970551
428	0.4284384095
429	0.4266869534
430	0.4249426571
431	0.4232054916
432	0.4214754275
433	0.419752436
434	0.4180364881
435	0.416327555
436	0.414625608
437	0.4129306185
438	0.4112425582
439	0.4095613986
440	0.4078871116
441	0.4062196692
442	0.4045590432
443	0.4029052058
444	0.4012581294
445	0.3996177862
446	0.3979841487
447	0.3963571895
448	0.3947368814
449	0.393123197
450	0.3915161094
451	0.3899155916
452	0.3883216167
453	0.3867341579
454	0.3851531887
455	0.3835786825
456	0.3820106129
457	0.3804489535
458	0.3788936782
459	0.3773447609
460	0.3758021756
461	0.3742658963
462	0.3727358973
463	0.371212153
464	0.3696946378
465	0.3681833261
466	0.3666781927
467	0.3651792123
468	0.3636863597
469	0.3621996099
470	0.3607189379
471	0.3592443189
472	0.3577757281
473	0.356313141
474	0.3548565329
475	0.3534058794
476	0.3519611562
477	0.350522339
478	0.3490894037
479	0.3476623263
480	0.3462410827
481	0.3448256492
482	0.343416002
483	0.3420121174
484	0.3406139719
485	0.339221542
486	0.3378348043
487	0.3364537357
488	0.3350783128
489	0.3337085127
490	0.3323443123
491	0.3309856888
492	0.3296326193
493	0.3282850812
494	0.3269430518
495	0.3256065086
496	0.3242754293
497	0.3229497913
498	0.3216295726
499	0.3203147509
500	0.3190053042
501	0.3177012106
502	0.3164024481
503	0.3151089949
504	0.3138208293
505	0.3125379298
506	0.3112602748
507	0.3099878428
508	0.3087206125
509	0.3074585627
510	0.3062016721
511	0.3049499197
512	0.3037032844
513	0.3024617454
514	0.3012252818
515	0.2999938729
516	0.298767498
517	0.2975461364
518	0.2963297679
519	0.2951183718
520	0.2939119279
521	0.292710416
522	0.2915138158
523	0.2903221074
524	0.2891352706
525	0.2879532856
526	0.2867761326
527	0.2856037918
528	0.2844362435
529	0.2832734682
530	0.2821154463
531	0.2809621583
532	0.2798135851
533	0.2786697071
534	0.2775305054
535	0.2763959607
536	0.275266054
537	0.2741407664
538	0.273020079
539	0.2719039729
540	0.2707924295
541	0.2696854301
542	0.2685829561
543	0.267484989
544	0.2663915103
545	0.2653025019
546	0.2642179453
547	0.2631378223
548	0.2620621149
549	0.260990805
550	0.2599238746
551	0.2588613058
552	0.2578030808
553	0.2567491819
554	0.2556995912
555	0.2546542913
556	0.2536132646
557	0.2525764936
558	0.2515439609
559	0.2505156492
560	0.2494915412
561	0.2484716198
562	0.2474558679
563	0.2464442683
564	0.2454368042
565	0.2444334585
566	0.2434342146
567	0.2424390555
568	0.2414479647
569	0.2404609254
570	0.2394779212
571	0.2384989354
572	0.2375239518
573	0.2365529539
574	0.2355859254
575	0.2346228502
576	0.233663712
577	0.2327084948
578	0.2317571825
579	0.2308097591
580	0.2298662088
581	0.2289265158
582	0.2279906642
583	0.2270586384
584	0.2261304227
585	0.2252060015
586	0.2242853594
587	0.2233684809
588	0.2224553506
589	0.2215459531
590	0.2206402733
591	0.2197382958
592	0.2188400057
593	0.2179453878
594	0.217054427
595	0.2161671086
596	0.2152834174
597	0.2144033388
598	0.213526858
599	0.2126539602
600	0.2117846308
601	0.2109188553
602	0.210056619
603	0.2091979076
604	0.2083427066
605	0.2074910016
606	0.2066427784
607	0.2057980227
608	0.2049567204
609	0.2041188574
610	0.2032844195
611	0.2024533928
612	0.2016257633
613	0.2008015172
614	0.1999806406
615	0.1991631198
616	0.198348941
617	0.1975380905
618	0.1967305548
619	0.1959263203
620	0.1951253735
621	0.194327701
622	0.1935332894
623	0.1927421253
624	0.1919541955
625	0.1911694868
626	0.190387986
627	0.1896096799
628	0.1888345555
629	0.1880625999
630	0.1872938
631	0.1865281429
632	0.1857656159
633	0.1850062061
634	0.1842499007
635	0.1834966871
636	0.1827465527
637	0.1819994848
638	0.1812554709
639	0.1805144986
640	0.1797765553
641	0.1790416288
642	0.1783097066
643	0.1775807765
644	0.1768548263
645	0.1761318438
646	0.1754118168
647	0.1746947333
648	0.1739805813
649	0.1732693487
650	0.1725610236
651	0.1718555942
652	0.1711530485
653	0.1704533748
654	0.1697565615
655	0.1690625966
656	0.1683714688
657	0.1676831662
658	0.1669976774
659	0.1663149909
660	0.1656350953
661	0.164957979
662	0.1642836308
663	0.1636120393
664	0.1629431933
665	0.1622770816
666	0.1616136929
667	0.1609530161
668	0.1602950402
669	0.1596397541
670	0.1589871468
671	0.1583372073
672	0.1576899248
673	0.1570452884
674	0.1564032873
675	0.1557639107
676	0.1551271478
677	0.1544929881
678	0.1538614207
679	0.1532324353
680	0.1526060211
681	0.1519821677
682	0.1513608646
683	0.1507421014
684	0.1501258677
685	0.1495121531
686	0.1489009475
687	0.1482922404
688	0.1476860217
689	0.1470822813
690	0.1464810089
691	0.1458821946
692	0.1452858282
693	0.1446918997
694	0.1441003992
695	0.1435113168
696	0.1429246426
697	0.1423403666
698	0.1417584792
699	0.1411789706
