iter	Passed	Remaining
401	15920	23682
402	15950	23629
403	15984	23580
404	16018	23533
405	16055	23489
406	16086	23438
407	16120	23390
408	16152	23340
409	16188	23295
410	16222	23247
411	16269	23219
412	16317	23192
413	16349	23142
414	16383	23094
415	16411	23038
416	16444	22990
417	16492	22963
418	16530	22921
419	16564	22874
420	16624	22863
421	16659	22818
422	16698	22778
423	16744	22746
424	16781	22704
425	16822	22667
426	16861	22626
427	16896	22580
428	16943	22552
429	16984	22513
430	17028	22481
431	17063	22434
432	17096	22386
433	17131	22341
434	17167	22298
435	17202	22253
436	17237	22207
437	17270	22159
438	17300	22108
439	17331	22058
440	17364	22011
441	17398	21965
442	17436	21922
443	17482	21892
444	17514	21844
445	17547	21796
446	17580	21749
447	17617	21707
448	17656	21667
449	17696	21628
450	17726	21578
451	17764	21537
452	17800	21493
453	17845	21462
454	17880	21417
455	17920	21379
456	17956	21335
457	17992	21293
458	18034	21256
459	18072	21216
460	18111	21176
461	18145	21130
462	18181	21087
463	18212	21039
464	18259	21008
465	18296	20966
466	18335	20926
467	18370	20882
468	18401	20833
469	18449	20804
470	18479	20754
471	18507	20703
472	18539	20655
473	18569	20607
474	18597	20555
475	18626	20504
476	18656	20455
477	18689	20409
478	18718	20359
479	18743	20305
480	18809	20295
481	18837	20244
482	18862	20190
483	18890	20139
484	18915	20085
485	18941	20032
486	18964	19976
487	18991	19925
488	19017	19873
489	19045	19822
490	19078	19777
491	19105	19727
492	19133	19677
493	19159	19624
494	19186	19573
495	19216	19526
496	19252	19484
497	19289	19444
498	19319	19396
499	19349	19349
500	19380	19303
501	19408	19253
502	19448	19216
503	19481	19172
504	19513	19127
505	19540	19077
506	19585	19045
507	19613	18995
508	19638	18944
509	19664	18893
510	19692	18844
511	19713	18789
512	19742	18742
513	19771	18694
514	19798	18644
515	19823	18593
516	19848	18543
517	19875	18494
518	19908	18450
519	19940	18406
520	19973	18363
521	20001	18315
522	20038	18275
523	20068	18230
524	20093	18179
525	20122	18133
526	20153	18088
527	20185	18045
528	20213	17997
529	20241	17950
530	20268	17901
531	20296	17854
532	20322	17806
533	20351	17760
534	20386	17718
535	20411	17669
536	20439	17622
537	20466	17575
538	20502	17535
539	20527	17486
540	20555	17439
541	20585	17395
542	20618	17352
543	20643	17304
544	20668	17255
545	20711	17221
546	20738	17174
547	20766	17128
548	20796	17084
549	20830	17043
550	20861	17000
551	20887	16952
552	20912	16904
553	20941	16858
554	20968	16812
555	20996	16767
556	21026	16723
557	21062	16684
558	21098	16644
559	21168	16632
560	21203	16592
561	21228	16544
562	21258	16500
563	21290	16458
564	21323	16417
565	21348	16370
566	21392	16336
567	21418	16290
568	21446	16245
569	21475	16201
570	21516	16165
571	21550	16125
572	21579	16080
573	21608	16036
574	21636	15992
575	21662	15946
576	21690	15901
577	21734	15868
578	21764	15825
579	21801	15787
580	21831	15743
581	21858	15699
582	21889	15656
583	21918	15613
584	21948	15570
585	21976	15526
586	22004	15482
587	22028	15434
588	22056	15390
589	22080	15344
590	22106	15298
591	22130	15252
